Index,Anotação
E sempre bom estar no coco bambu restaurante excelente atendimento ótimo tudo muito satisfatório agradeço ao Jorge pelo serviço foi excelente,"{'entities': [(22, 32, 'GERAL'), (33, 44, 'GERAL'), (55, 66, 'SERVIÇO'), (109, 114, 'SERVIÇO'), (120, 127, 'SERVIÇO')]}"
"Até em dias com a cidade cheia o local é muito agradável.  Garçons atenciosos. Música agradabilíssima e a comida, pastel e sucos maravilhosos.","{'entities': [(79, 85, 'AMBIENTE'), (33, 38, 'GERAL'), (106, 112, 'COMIDA'), (114, 120, 'COMIDA'), (123, 128, 'BEBIDA'), (59, 66, 'SERVIÇO')]}"
"Ótimo lugar, atendimento excelente do Joelmir, ambiente e comida maravilhosa, música agradável. Voltaremos outras vezes! Indicaremos muito.","{'entities': [(47, 55, 'AMBIENTE'), (78, 84, 'AMBIENTE'), (6, 11, 'GERAL'), (58, 64, 'COMIDA'), (13, 24, 'SERVIÇO'), (38, 45, 'SERVIÇO')]}"
Fomos servidos pelo garçom Pires que recomendou o prato “rede de pescador”.  Ficamos impressionados com a qualidade e variedade de frutos do mar servidos nesta opção e gostaríamos de salientar o ambiente romântico com sua excelente música ao vivo.,"{'entities': [(195, 203, 'AMBIENTE'), (232, 238, 'AMBIENTE'), (57, 73, 'COMIDA'), (131, 144, 'COMIDA'), (20, 32, 'SERVIÇO')]}"
"Minha experiencia foi uma das melhores, as bebidas, a comida foi tudo maravilhoso. Permaneci no bar durante toda minha visita, os atendentes muito simpaticos e atenciosos e principalmente em especial ao Josemberg, Bruno e a Raquel.","{'entities': [(54, 60, 'COMIDA'), (43, 50, 'BEBIDA'), (96, 99, 'BEBIDA'), (130, 140, 'SERVIÇO'), (203, 212, 'SERVIÇO'), (214, 219, 'SERVIÇO'), (224, 230, 'SERVIÇO')]}"
"Restaurante maravilhoso, o forte são os frutos do mar, porém de novidade estão com um menu fit, com opções veganas deliciosas. Experimentei o ratatuile e a moqueca de banana, ambos sensacionais. Vale cada centavo e é muito bem servido.","{'entities': [(0, 11, 'GERAL'), (40, 53, 'COMIDA'), (86, 94, 'COMIDA'), (107, 114, 'COMIDA'), (142, 151, 'COMIDA'), (156, 173, 'COMIDA'), (200, 212, 'PREÇO')]}"
"Muito bom o serviço, extremamente prestativo e educado. Muito simpático e comunicativo! Voltaremos em breve!","{'entities': [(12, 19, 'SERVIÇO')]}"
Atendimento muito bom ( Marlon) Os pratos Bem temperados. Uma delícia. Ambiente bonito e aconchegante. Vale a vir.,"{'entities': [(71, 79, 'AMBIENTE'), (35, 41, 'COMIDA'), (0, 11, 'SERVIÇO'), (24, 30, 'SERVIÇO')]}"
"Super recomendo!!! Comemos o camarão 4 queijos para duas pessoas, arroz com passas e batata palha feita na hora ( um charme ), o ambiente é bem bonito , música ambiente de qualidade. Fomos super bem atendidos pelo Henrique.  Os doces são uma atração a...Mais","{'entities': [(129, 137, 'AMBIENTE'), (153, 159, 'AMBIENTE'), (160, 168, 'AMBIENTE'), (29, 46, 'COMIDA'), (66, 82, 'COMIDA'), (85, 97, 'COMIDA'), (228, 233, 'COMIDA')]}"
"Ótimo o restaurante, comida e atendimento exemplares!  Matheus Ribeiro Maetria Aranildo (Gerente Gildo Cardozo)","{'entities': [(8, 19, 'GERAL'), (21, 27, 'COMIDA'), (30, 41, 'SERVIÇO'), (55, 70, 'SERVIÇO'), (71, 87, 'SERVIÇO'), (89, 110, 'SERVIÇO')]}"
"O atendimento de Rodrigo Uchoa, exelente. A comida estava deliciosa e o ambiente agradavel. Recomendamos","{'entities': [(72, 80, 'AMBIENTE'), (44, 50, 'COMIDA'), (2, 13, 'SERVIÇO'), (17, 30, 'SERVIÇO')]}"
"Comida e atendimento pelo Jeferson foram excelentes. Os pratos são muito bons, o chopp bem gelado. Ambiente muito agradável.","{'entities': [(99, 107, 'AMBIENTE'), (0, 6, 'COMIDA'), (56, 62, 'COMIDA'), (81, 86, 'BEBIDA'), (9, 20, 'SERVIÇO'), (26, 34, 'SERVIÇO')]}"
Os pratos são deliciosos é bem servidos! Fomos dois casais pedimos dois pratos e sobrou muita comida! Recomendo,"{'entities': [(3, 9, 'COMIDA'), (72, 78, 'COMIDA')]}"
"Comida boa, bons vinhos. Agradeço  o atendimento  excelente  do garçom  Sousa foi show. Local que pretendo  voltar sempre","{'entities': [(88, 93, 'GERAL'), (0, 6, 'COMIDA'), (17, 23, 'BEBIDA'), (37, 48, 'SERVIÇO')]}"
"Rogerio foi sensacional! Atendimento excelente, ajudou a escolher o pedido e foi muito educado e simpatico","{'entities': [(0, 7, 'SERVIÇO'), (25, 36, 'SERVIÇO')]}"
"Muito bom  atendimento Metre Aurelio Brandao - Denilson , muito gentis Banda incrível - truffatori.trio","{'entities': [(71, 76, 'AMBIENTE'), (11, 22, 'SERVIÇO'), (23, 44, 'SERVIÇO'), (47, 55, 'SERVIÇO')]}"
"Cardápio farto de frutos do mar. Bebidas gostosas e com bela apresentação tropical. A equipe da cozinha, no entanto, precisa ser mais atenta pois a nossa entrada chegou quando já estávamos na metade do prato principal. O restaurante assumiu a culpa e foi muito hábil...Mais","{'entities': [(221, 232, 'GERAL'), (0, 8, 'COMIDA'), (18, 31, 'COMIDA'), (154, 161, 'COMIDA'), (202, 217, 'COMIDA'), (33, 40, 'BEBIDA'), (96, 103, 'SERVIÇO')]}"
"O André  é muito atencioso, simpático e prestativo.  Excelente atendimento no coco bambu.  Obrigada por tudo!","{'entities': [(78, 88, 'GERAL'), (2, 7, 'SERVIÇO'), (63, 74, 'SERVIÇO')]}"
"Atendimento horrível! 50 minutos esperando um chopp, garçons grossos, não recomendo! Comida demorou demais!Mais","{'entities': [(85, 91, 'COMIDA'), (46, 51, 'BEBIDA'), (0, 11, 'SERVIÇO'), (53, 60, 'SERVIÇO')]}"
"Ótimo prato, chopp gelado, vinho branco muito bom...excelente atendimento! O Garçom Edvaldo nos atendeu muito bem!!!","{'entities': [(6, 11, 'COMIDA'), (13, 18, 'BEBIDA'), (27, 39, 'BEBIDA'), (62, 73, 'SERVIÇO'), (77, 91, 'SERVIÇO')]}"
Eu amei a experiência neste restaurante! A comida é maravilhosa e tive um otimo atendimento feito pelo garçom Marlon..,"{'entities': [(28, 39, 'GERAL'), (43, 49, 'COMIDA'), (80, 91, 'SERVIÇO'), (103, 116, 'SERVIÇO')]}"
Excelente atendimento! Recomendo o camarão coco bambu! Ótimo garçom Lucas Nunes! Gostei do som do Dj! Coisa fina.  Parabéns!,"{'entities': [(91, 100, 'AMBIENTE'), (35, 53, 'COMIDA'), (10, 21, 'SERVIÇO'), (61, 79, 'SERVIÇO')]}"
"Possui dois pisos, bom atendimento, a comida é farta e deliciosa,amplo estacionamento, ambiente muito bem decorado,bom estar lá e desfrutar da bela vista.","{'entities': [(87, 95, 'AMBIENTE'), (148, 153, 'AMBIENTE'), (38, 44, 'COMIDA'), (23, 34, 'SERVIÇO'), (71, 85, 'LOCALIZAÇÃO')]}"
"Maravilhosoooooo.....  atendimento espetacular !!! Marlon super atencioso,simpático e prestativo!!! Sensacional 😍😍😍😍👌👏👏👏👏👏","{'entities': [(23, 34, 'SERVIÇO'), (51, 57, 'SERVIÇO')]}"
O restaurante Coco Bambu na Avenida Beira Mar na Praia do Meireles tem  a melhor cozinha no tocante à frutos do mar na Cidade de Fortaleza. Os pratos são muito bem servidos e os preços são justos. Apesar de ser na orla da Capital onde...Mais,"{'entities': [(2, 24, 'GERAL'), (81, 88, 'COMIDA'), (102, 115, 'COMIDA'), (143, 149, 'COMIDA'), (178, 184, 'PREÇO'), (28, 45, 'LOCALIZAÇÃO'), (49, 66, 'LOCALIZAÇÃO'), (119, 138, 'LOCALIZAÇÃO'), (214, 229, 'LOCALIZAÇÃO')]}"
"Ambiente ótimo, aconchegante, músicas agradáveis. Comida maravilhosa e atendimento nota mil com garçom Teixeira!","{'entities': [(0, 8, 'AMBIENTE'), (30, 37, 'AMBIENTE'), (50, 56, 'COMIDA'), (71, 82, 'SERVIÇO'), (96, 111, 'SERVIÇO')]}"
Peixe maravilhoso ótimo atedimento ambiente agradável atendida por lucicreudo  recomendo maravilhoso.........,"{'entities': [(35, 43, 'AMBIENTE'), (0, 5, 'COMIDA'), (24, 34, 'SERVIÇO'), (67, 77, 'SERVIÇO')]}"
"Comida excelente! O prato vem bem servido. Recomendo o camarão internacional e o camarão Dellcia. Espaço agradável com vista linda! No domingo, é bom chegar mais cedo para conseguir lugar.","{'entities': [(119, 124, 'AMBIENTE'), (98, 104, 'GERAL'), (0, 6, 'COMIDA'), (20, 25, 'COMIDA'), (55, 76, 'COMIDA'), (81, 96, 'COMIDA')]}"
"Excelente restaurante com vasto cardápio e ambiente agradável. Tempo de espera médio e comida excelente. Fomos atendidos pelo Pedro, que nos disse que o tempo para o prato ficar pronto seria de 30 minutos, depois de trinta minutos, ele por conta própria, voltou a nossa...Mais","{'entities': [(43, 51, 'AMBIENTE'), (10, 21, 'GERAL'), (32, 40, 'COMIDA'), (87, 93, 'COMIDA'), (166, 171, 'COMIDA'), (126, 131, 'SERVIÇO')]}"
"Excelente feijoada, muito saborosa, leve e bem servida. Ótimo atendimento do Maitre Macedo e do garçom Alan.","{'entities': [(10, 18, 'COMIDA'), (62, 73, 'SERVIÇO'), (77, 90, 'SERVIÇO'), (96, 107, 'SERVIÇO')]}"
"Totalmente  recomendo. Quand0 se fala em lugar agradável de comida excelente e atendimento impecável, log0 indico coco bambu. Sem falar na simpatia  do garçom Sidney que está  sempre demonstrando profissionalismo, destresa  e muita competência  ao nus atender. Voltaremos  em breve👏👏👏🥂🍷🍾","{'entities': [(41, 46, 'GERAL'), (114, 124, 'GERAL'), (60, 66, 'COMIDA'), (79, 90, 'SERVIÇO'), (152, 165, 'SERVIÇO')]}"
"Havíamos tudo uma experiência não muito boa, porém resolvi da uma nova oportunidade ao restaurante e não me arrependi, comemos um excelente filé de pescada, na nata acompanhado de batas e arroz de brócolis, o atendimento foi impecável a comida estava extremamente saborosa, voltaremos a...Mais","{'entities': [(87, 98, 'GERAL'), (140, 155, 'COMIDA'), (160, 164, 'COMIDA'), (180, 185, 'COMIDA'), (188, 205, 'COMIDA'), (237, 243, 'COMIDA'), (209, 220, 'SERVIÇO')]}"
Atendimento espetacular pelo Marco Abreu. Fomos atendidas rapidamente com servico eficaz. Agilidade no atendimento.,"{'entities': [(0, 11, 'SERVIÇO'), (29, 40, 'SERVIÇO'), (74, 81, 'SERVIÇO'), (103, 114, 'SERVIÇO')]}"
"Muito parecido à franquia próxima da praia. O ambiente praiano lindo, com um espaço para crianças. E a comida deliciosa. Amei o brigadeiro na taça deles como sobremesa, mas tem que dividir com mais alguém, porque é muito chocolate pra uma pessoa só! hehe","{'entities': [(46, 54, 'AMBIENTE'), (77, 97, 'AMBIENTE'), (103, 109, 'COMIDA'), (128, 146, 'COMIDA'), (158, 167, 'COMIDA'), (221, 230, 'COMIDA'), (37, 42, 'LOCALIZAÇÃO')]}"
"A comida estava deliciosa, e a bebida agradável, mas não surpreendente. O atendimento deixou um pouco a desejar. Cupons de descontos não funcionam lá, pois não importa o valor pago, ou o desconto oferecido, eles vão cobrar a diferença do valor do prato na hora,...Mais","{'entities': [(2, 8, 'COMIDA'), (247, 252, 'COMIDA'), (31, 37, 'BEBIDA'), (74, 85, 'SERVIÇO'), (113, 132, 'PREÇO'), (170, 175, 'PREÇO'), (187, 195, 'PREÇO'), (238, 243, 'PREÇO')]}"
Mateus um ótimo  funcionário  do Coco bambu adorei a comida e o atendimento  foi nota 10 obrigado  e espero voltar em breve,"{'entities': [(33, 43, 'GERAL'), (53, 59, 'COMIDA'), (0, 6, 'SERVIÇO'), (64, 75, 'SERVIÇO')]}"
"Almoço muito bom, prato excelente alem de atendimento super rápido, garcon uma doçura de pessoa, obrigada Muller!","{'entities': [(0, 6, 'COMIDA'), (18, 23, 'COMIDA'), (42, 53, 'SERVIÇO'), (68, 74, 'SERVIÇO'), (106, 112, 'SERVIÇO')]}"
"Ótima  opção pra quem procura conforto, comida boa e espaço infantil. Garçons atenciosos e simpáticos. Procurem o Pablo Ótimo garçom","{'entities': [(53, 68, 'AMBIENTE'), (40, 46, 'COMIDA'), (70, 77, 'SERVIÇO'), (114, 119, 'SERVIÇO'), (126, 132, 'SERVIÇO')]}"
"A celebração com boa(s) companhias pede um lugar com comida boa e farta, um suco natural de tangerina (delicioso!). A varanda não tem a comodidade do ar condicionado para os mais exigentes, mas é um local bem acolhedor, além de contar com a vista para...Mais","{'entities': [(118, 125, 'AMBIENTE'), (199, 204, 'AMBIENTE'), (241, 246, 'AMBIENTE'), (43, 48, 'GERAL'), (53, 59, 'COMIDA'), (76, 101, 'BEBIDA')]}"
"Sempre fui bem atendida e com pratos deliciosos. Local muito agradável, comida excelente e farta. Sempre tem promoções e o prato serve pelo menos 3 pessoas","{'entities': [(49, 54, 'GERAL'), (30, 36, 'COMIDA'), (72, 78, 'COMIDA'), (123, 128, 'COMIDA'), (15, 23, 'SERVIÇO'), (109, 118, 'PREÇO')]}"
"Show! muito gostoso, atendimento de 1ª e preço bom! O restaurante tem várias cozinhas, pizza, peixes e etc...Ahh e estacionamento!","{'entities': [(54, 65, 'GERAL'), (77, 85, 'COMIDA'), (87, 92, 'COMIDA'), (94, 100, 'COMIDA'), (21, 32, 'SERVIÇO'), (41, 46, 'PREÇO'), (115, 129, 'LOCALIZAÇÃO')]}"
"Restaurante maravilhoso, comida de qualidade, ótimo ambiente e música aconchegante, arquitetura está de parabéns!!! Ótima carta de vinhos com uma adega linda!  Mas no atendimento acredito que falta um pouco mais de treinamento e vontade, os garçons são meio travados. Mas voltarei...","{'entities': [(52, 60, 'AMBIENTE'), (63, 69, 'AMBIENTE'), (84, 95, 'AMBIENTE'), (146, 151, 'AMBIENTE'), (0, 11, 'GERAL'), (25, 31, 'COMIDA'), (122, 137, 'BEBIDA'), (167, 178, 'SERVIÇO'), (241, 248, 'SERVIÇO')]}"
"O atendimento do Brad foi excepcional, super atencioso e carismático. Os pratos estavam deliciosos, no ponto certo, temperatura certa e tempero perfeitos. Ambiente aconchegante e seguindo todas as normas de higienização, disponibilizam pequenos sacos para colocar sua máscara e mesas contém álcool em gel.","{'entities': [(155, 163, 'AMBIENTE'), (73, 79, 'COMIDA'), (2, 13, 'SERVIÇO'), (17, 21, 'SERVIÇO')]}"
"Fomos com família e amigos, todos adoramos!!! Comida deliciosa!!! Ótimo atendimento!!! Pratos bem servidos!!! Excelente custo-benefício!!!","{'entities': [(46, 52, 'COMIDA'), (87, 93, 'COMIDA'), (72, 83, 'SERVIÇO'), (120, 135, 'PREÇO')]}"
"O restaurante é excelente. Comida boa, música maravilhosa, fui atendida pelo Baiano (garçom extremamente atencioso) e o maitre Moura também super gentil.","{'entities': [(39, 45, 'AMBIENTE'), (2, 13, 'GERAL'), (27, 33, 'COMIDA'), (77, 83, 'SERVIÇO'), (85, 91, 'SERVIÇO'), (120, 132, 'SERVIÇO')]}"
"Todos os pratos excelentes, clima agradável. O atendimento ótimo, Rodrigo Sandes nos atendeu muito bem, nos apresentou um maravilhoso prato.  Concerteza meu restaurante preferido.","{'entities': [(157, 168, 'GERAL'), (9, 15, 'COMIDA'), (134, 139, 'COMIDA'), (47, 58, 'SERVIÇO'), (66, 80, 'SERVIÇO')]}"
"Sem dúvida já é a melhor opção para se comer frutos do mar no Espírito Santo! Além da comida ser maravilhosa, o atendimento e ambiente são impecáveis. Não deixe de experimentar o camarão com crosta de pão de alho, sensacional!","{'entities': [(126, 134, 'AMBIENTE'), (45, 58, 'COMIDA'), (86, 92, 'COMIDA'), (179, 212, 'COMIDA'), (112, 123, 'SERVIÇO'), (62, 76, 'LOCALIZAÇÃO')]}"
"Cida nos atendeu muito bem, de prontidão para qualquer necessidade, deu dica de petiscos e bebidas que acatamos e estavam excelentes, muito atenciosa e prestativa. Completou nossa experiência que por muitas vezes ja tinha deixado a desejar no coco","{'entities': [(80, 88, 'COMIDA'), (91, 98, 'BEBIDA'), (0, 4, 'SERVIÇO'), (243, 247, 'LOCALIZAÇÃO')]}"
"Ótimo atendimento, tempo de espera e refeição. Lugar maravilhoso para curtir com a família ou em casal.","{'entities': [(47, 52, 'GERAL'), (6, 17, 'SERVIÇO')]}"
"Muito gostosa a comida, atendimento impecável, muito confortável. Sempre tem algumas promoções. Vale muito a pena conhecer.","{'entities': [(16, 22, 'COMIDA'), (24, 35, 'SERVIÇO'), (85, 94, 'PREÇO')]}"
"Fácil estacionamento, atendimento rápido, boa comida, ambiente muito agradável e preço dentro da expectativa.","{'entities': [(54, 62, 'AMBIENTE'), (46, 52, 'COMIDA'), (22, 33, 'SERVIÇO'), (81, 86, 'PREÇO'), (6, 20, 'LOCALIZAÇÃO')]}"
"A comida é deliciosa e fata, tem gosto de comida fresca, mas se prepare que o preço é um pouco salgado.","{'entities': [(2, 8, 'COMIDA'), (42, 55, 'COMIDA'), (78, 83, 'PREÇO'), (95, 102, 'PREÇO')]}"
"Fui em um almoço de fim de ano do serviço, comida e atendimento bons. Não sei avaliar pratos específicos, mas o risoto de camarão estava muito saboroso. A vista e localização são boas.","{'entities': [(155, 160, 'AMBIENTE'), (10, 16, 'COMIDA'), (43, 49, 'COMIDA'), (86, 92, 'COMIDA'), (112, 129, 'COMIDA'), (52, 63, 'SERVIÇO'), (163, 174, 'LOCALIZAÇÃO')]}"
"Gostaria de relatar um fato. No dia 03/09/2018 Fizemos um pedido de dois pratos pelo ifood às 11:00 da manhã. Como já se passavam das 13 hs e, segundo o aplicativo o motoqueiro já tinha saído para entrega a mais de 1 hs. Resolvi ligar,...Mais","{'entities': [(73, 79, 'COMIDA')]}"
Muito bem atendido pela Rúbia. Parabéns Rúbia.o local é agradável. Adorei muito o atendimento. Parabéns!...,"{'entities': [(48, 53, 'GERAL'), (24, 29, 'SERVIÇO'), (82, 93, 'SERVIÇO')]}"
Ó garçon Alex foi perfeito no atendimento e atencioso e passa todas informações corretas  da culinária da casa nota 1000 pra ele,"{'entities': [(93, 102, 'COMIDA'), (2, 13, 'SERVIÇO'), (30, 41, 'SERVIÇO')]}"
"O atendimento foi excelente pelo Francisco. A comida estava agradável, o ambiente também. Recomendo para quem gosta mto de camarão.","{'entities': [(73, 81, 'AMBIENTE'), (46, 52, 'COMIDA'), (123, 130, 'COMIDA'), (2, 13, 'SERVIÇO'), (33, 42, 'SERVIÇO')]}"
"Nota 1.000, Leonardo , comida excelente, local, atendimento, com certeza indico para outras pessoas.","{'entities': [(41, 46, 'GERAL'), (23, 29, 'COMIDA'), (12, 20, 'SERVIÇO'), (48, 59, 'SERVIÇO')]}"
"Fui muito bem atendido pelo meu amigo aristenio, comemos um file de 4 queijos  e meio  carne de sol Maranhão. Top serve muito bem 3 pessoas","{'entities': [(60, 77, 'COMIDA'), (87, 108, 'COMIDA'), (38, 47, 'SERVIÇO')]}"
"Adorei o atendimento do garçom Sebastiao, na unidade Coco Bambu Anhembi, que nos atendeu com muita presteza e simpatia","{'entities': [(9, 20, 'SERVIÇO'), (24, 40, 'SERVIÇO'), (53, 71, 'LOCALIZAÇÃO')]}"
"Ótimo atendimento, nota 1.000!!!!!! Walter que nos atendeu, e foi educado e atencioso o tempo todo com todo mundo.","{'entities': [(6, 17, 'SERVIÇO'), (36, 42, 'SERVIÇO')]}"
"Marcos Vinicius,  um excelente garçom,  muito atencioso. Nos deu total apoio nas escolhas, sem bastante assertivo.","{'entities': [(0, 15, 'SERVIÇO'), (31, 37, 'SERVIÇO')]}"
"Comida excelente!  Gosto muito do Camarão Internaional e o Camarão em Crosta (acompanha arroz siciliano e salada).  Dependendo do prato, serve de 2 a 4 pessoas.  Muito bom.","{'entities': [(0, 6, 'COMIDA'), (34, 54, 'COMIDA'), (59, 76, 'COMIDA'), (88, 103, 'COMIDA'), (106, 112, 'COMIDA'), (130, 135, 'COMIDA')]}"
"Quero agradecer ao Garçom Francisco, que ofereceu um ótimo atendimento. Pedimos um prato novo de camarão e chegou super rápido. O estabelecimento e o atendimento estão de parabéns","{'entities': [(130, 145, 'GERAL'), (83, 88, 'COMIDA'), (97, 104, 'COMIDA'), (19, 35, 'SERVIÇO'), (59, 70, 'SERVIÇO'), (150, 161, 'SERVIÇO')]}"
"Ótimo atendimento,  o Garçom excelente, é local muito bom  Vagner dias.  Voltaremos mais vezes com a minha família.","{'entities': [(42, 47, 'GERAL'), (6, 17, 'SERVIÇO'), (22, 28, 'SERVIÇO')]}"
Garçom Marcelo nos atendeu com muita cordialidade! Lugar excelente para compartilhar com a família e amigos,"{'entities': [(51, 56, 'GERAL'), (0, 14, 'SERVIÇO')]}"
"Ambiente refinado e aconchegante, comida muito boa, atendimento perfeito, ambiente Kids com monitoramento para que os pais possam curtir o bate papo e as refeições mais descontraidos. Gostei muito, pretendo voltar mais vzs.","{'entities': [(0, 8, 'AMBIENTE'), (74, 87, 'AMBIENTE'), (34, 40, 'COMIDA'), (154, 163, 'COMIDA'), (52, 63, 'SERVIÇO')]}"
Muito bom!!! Foi uma experencia muito positiva e pedirei mais no futuro. O serviço foi exelente e muito reconfortante e o preco e justo.,"{'entities': [(75, 82, 'SERVIÇO'), (122, 135, 'PREÇO')]}"
"Pedimos os pratos de praia de itamaracá; olinda e tamandare e estava tudo maravilhoso. Fomos muito bem atendidos pelo Fernando Potigua Felinto. Em outra ocasião pedimos o praia de boa viagem, que é realmente o melhor macarrão da casa.","{'entities': [(11, 17, 'COMIDA'), (21, 39, 'COMIDA'), (41, 47, 'COMIDA'), (50, 59, 'COMIDA'), (171, 190, 'COMIDA'), (217, 225, 'COMIDA'), (118, 142, 'SERVIÇO')]}"
"Comida muito boa, ambiente agradável, porções generosas, preço razoável, mas, o atendimento deixa a desejar.","{'entities': [(18, 26, 'AMBIENTE'), (0, 6, 'COMIDA'), (38, 45, 'COMIDA'), (80, 91, 'SERVIÇO'), (57, 62, 'PREÇO')]}"
"Excelente atendimento, qualidade da comida impecável, ambiente agradável e com espaço para crianças. Ótimo para reunir a família.","{'entities': [(54, 62, 'AMBIENTE'), (79, 99, 'AMBIENTE'), (36, 42, 'COMIDA'), (10, 21, 'SERVIÇO')]}"
"O lugar é agradável. Música ao vivo, atendimento normal. Mas a comida é deliciosa.  É uma rede, então todos têm o mesmo cardápio. Recomendo","{'entities': [(21, 27, 'AMBIENTE'), (2, 7, 'GERAL'), (63, 69, 'COMIDA'), (120, 128, 'COMIDA'), (37, 48, 'SERVIÇO')]}"
"O Coco Bambu de Uberlândia segue o padrão da rede que, em geral, é bom. Porém, a unidade local sofre de um sério problema com o serviço. O tempo para trazerem uma simples água é inacreditável. Uma bebida mais elaborada, pior ainda. Já os pratos......Mais","{'entities': [(89, 94, 'GERAL'), (238, 244, 'COMIDA'), (171, 175, 'BEBIDA'), (197, 203, 'BEBIDA'), (128, 135, 'SERVIÇO'), (2, 26, 'LOCALIZAÇÃO')]}"
"Excelente atendimento e ótimos pratos. Comida deliciosa. Parabéns ao gerente Hugo, muito profissional e atencioso.","{'entities': [(31, 37, 'COMIDA'), (39, 45, 'COMIDA'), (10, 21, 'SERVIÇO'), (69, 81, 'SERVIÇO')]}"
"Adoro a rede de Restaurantes do grupo Coco Bambu, mas o Coco Bambu Frutos do Mar é especial... Tem uma localização ímpar na Beira-mar de Fortaleza, ambiente agradabilíssimo, comida mais que perfeita, atendimento nota 10 e uma caipifruta de uva que é Tuuudo!!! Sempre que...Mais","{'entities': [(148, 156, 'AMBIENTE'), (16, 28, 'GERAL'), (38, 48, 'GERAL'), (56, 80, 'GERAL'), (174, 180, 'COMIDA'), (226, 243, 'BEBIDA'), (200, 211, 'SERVIÇO'), (103, 114, 'LOCALIZAÇÃO'), (124, 146, 'LOCALIZAÇÃO')]}"
"Excelente atendimento. Comida saborosa e com preço condizente, justo. Ambiente agradável, com música ao vivo e ótimo repertório.  Bebidas geladas que chegam rapidamente às mesas. Banheiros limpíssimos. Decoração refinada. Garçons atenciosos e prestativos. Espaço Kids atrativo e seguro. Adega completa.","{'entities': [(70, 78, 'AMBIENTE'), (94, 100, 'AMBIENTE'), (179, 188, 'AMBIENTE'), (202, 211, 'AMBIENTE'), (256, 267, 'AMBIENTE'), (23, 29, 'COMIDA'), (130, 137, 'BEBIDA'), (287, 292, 'BEBIDA'), (10, 21, 'SERVIÇO'), (222, 229, 'SERVIÇO'), (45, 50, 'PREÇO')]}"
